label,id,type_c,date
AChickenArgentina919-32023_EPI_ISL_18698502__regional_context/Argentina/2023-03-13,AChickenArgentina919-32023_EPI_ISL_18698502,regional_context,2023-03-13
ASwanChile2475242023_EPI_ISL_20444528__regional_context/Chile/2023-04-05,ASwanChile2475242023_EPI_ISL_20444528,regional_context,2023-04-05
AchickenChile242894-42023_EPI_ISL_20444457__regional_context/Chile/2023-03-18,AchickenChile242894-42023_EPI_ISL_20444457,regional_context,2023-03-18
AchickenChile242894-12023_EPI_ISL_20444491__regional_context/Chile/2023-03-18,AchickenChile242894-12023_EPI_ISL_20444491,regional_context,2023-03-18
AchickenNuble2391362023_EPI_ISL_17885878__regional_context/Nuble/2023-02-27,AchickenNuble2391362023_EPI_ISL_17885878,regional_context,2023-02-27
ATurkeyArgentina1711-22023_EPI_ISL_18698514__regional_context/Argentina/2023-04-19,ATurkeyArgentina1711-22023_EPI_ISL_18698514,regional_context,2023-04-19
AChickenArgentina2016-22023_EPI_ISL_18698732__regional_context/Argentina/2023-05-03,AChickenArgentina2016-22023_EPI_ISL_18698732,regional_context,2023-05-03
AchickenChile2408752023_EPI_ISL_20444503__regional_context/Chile/2023-03-07,AchickenChile2408752023_EPI_ISL_20444503,regional_context,2023-03-07
AchickenNuble2406842023_EPI_ISL_17885876__regional_context/Nuble/2023-03-08,AchickenNuble2406842023_EPI_ISL_17885876,regional_context,2023-03-08
AturkeyNuble241568-12023_EPI_ISL_17885962__regional_context/Nuble/2023-03-10,AturkeyNuble241568-12023_EPI_ISL_17885962,regional_context,2023-03-10
AchickenChile241557-22023_EPI_ISL_20444498__regional_context/Chile/2023-03-10,AchickenChile241557-22023_EPI_ISL_20444498,regional_context,2023-03-10
AchickenChile241681-12023_EPI_ISL_20444496__regional_context/Chile/2023-03-10,AchickenChile241681-12023_EPI_ISL_20444496,regional_context,2023-03-10
AchickenChile241557-12023_EPI_ISL_20444505__regional_context/Chile/2023-03-10,AchickenChile241557-12023_EPI_ISL_20444505,regional_context,2023-03-10
AchickenNuble241557-12023_EPI_ISL_17885874__regional_context/Nuble/2023-03-10,AchickenNuble241557-12023_EPI_ISL_17885874,regional_context,2023-03-10
AchickenChile241681-22023_EPI_ISL_20444495__regional_context/Chile/2023-03-10,AchickenChile241681-22023_EPI_ISL_20444495,regional_context,2023-03-10
AchickenNuble241681-12023_EPI_ISL_17885873__regional_context/Nuble/2023-03-10,AchickenNuble241681-12023_EPI_ISL_17885873,regional_context,2023-03-10
AChickenArgentina477-52023_EPI_ISL_18698462__regional_context/Argentina/2023-02-18,AChickenArgentina477-52023_EPI_ISL_18698462,regional_context,2023-02-18
AChickenArgentina1035-12023_EPI_ISL_18698504__regional_context/Argentina/2023-03-16,AChickenArgentina1035-12023_EPI_ISL_18698504,regional_context,2023-03-16
ATurkeyArgentina1348-32023_EPI_ISL_18698508__regional_context/Argentina/2023-03-31,ATurkeyArgentina1348-32023_EPI_ISL_18698508,regional_context,2023-03-31
AChickenArgentina2034-52023_EPI_ISL_18698520__regional_context/Argentina/2023-05-05,AChickenArgentina2034-52023_EPI_ISL_18698520,regional_context,2023-05-05
AChickenArgentina464-42023_EPI_ISL_18698460__regional_context/Argentina/2023-02-16,AChickenArgentina464-42023_EPI_ISL_18698460,regional_context,2023-02-16
AChickenArgentina559-82023_EPI_ISL_18698480__regional_context/Argentina/2023-02-22,AChickenArgentina559-82023_EPI_ISL_18698480,regional_context,2023-02-22
AChickenArgentina481-22023_EPI_ISL_18698464__regional_context/Argentina/2023-02-18,AChickenArgentina481-22023_EPI_ISL_18698464,regional_context,2023-02-18
Abackyard_chickenUruguayUDELAR-040-M52023_EPI_ISL_18310942__regional_context/Uruguay/2023-03-03,Abackyard_chickenUruguayUDELAR-040-M52023_EPI_ISL_18310942,regional_context,2023-03-03
Abackyard_chickenUruguayUDELAR-040-M72023_EPI_ISL_18310967__regional_context/Uruguay/2023-03-03,Abackyard_chickenUruguayUDELAR-040-M72023_EPI_ISL_18310967,regional_context,2023-03-03
Abackyard_chickenUruguayUDELAR-047-M12023_EPI_ISL_18310966__regional_context/Uruguay/2023-03-06,Abackyard_chickenUruguayUDELAR-047-M12023_EPI_ISL_18310966,regional_context,2023-03-06
Abackyard_chickenUruguayUDELAR-047-M32023_EPI_ISL_18310965__regional_context/Uruguay/2023-03-06,Abackyard_chickenUruguayUDELAR-047-M32023_EPI_ISL_18310965,regional_context,2023-03-06
AChickenArgentina1708-12023_EPI_ISL_18698512__regional_context/Argentina/2023-04-19,AChickenArgentina1708-12023_EPI_ISL_18698512,regional_context,2023-04-19
ABlack_SkimmerMaule2403792023_EPI_ISL_17885849__regional_context/Maule/2023-03-06,ABlack_SkimmerMaule2403792023_EPI_ISL_17885849,regional_context,2023-03-06
ABlack-Necked_SwanNeuquen1151-12023_EPI_ISL_19836182__regional_context/Neuquen/2023-03-22,ABlack-Necked_SwanNeuquen1151-12023_EPI_ISL_19836182,regional_context,2023-03-22
AChickenArgentina1416-32023_EPI_ISL_18698510__regional_context/Argentina/2023-04-03,AChickenArgentina1416-32023_EPI_ISL_18698510,regional_context,2023-04-03
AChickenArgentina491-22023_EPI_ISL_18698469__regional_context/Argentina/2023-02-20,AChickenArgentina491-22023_EPI_ISL_18698469,regional_context,2023-02-20
AChickenArgentina501-12023_EPI_ISL_18698471__regional_context/Argentina/2023-02-20,AChickenArgentina501-12023_EPI_ISL_18698471,regional_context,2023-02-20
AChiloe_wigeonOHiggins240893-22023_EPI_ISL_17885965__regional_context/Ohiggins/2023-03-09,AChiloe_wigeonOHiggins240893-22023_EPI_ISL_17885965,regional_context,2023-03-09
ADuckArgentina1712-52023_EPI_ISL_18698515__regional_context/Argentina/2023-04-19,ADuckArgentina1712-52023_EPI_ISL_18698515,regional_context,2023-04-19
ATurkeyChile245558-32023_EPI_ISL_20444523__regional_context/Chile/2023-03-29,ATurkeyChile245558-32023_EPI_ISL_20444523,regional_context,2023-03-29
ATurkeyChile245562-22023_EPI_ISL_20444522__regional_context/Chile/2023-03-29,ATurkeyChile245562-22023_EPI_ISL_20444522,regional_context,2023-03-29
AturkeyValparaiso245886-32023_EPI_ISL_19410285__regional_context/Valparaiso/2023-03-30,AturkeyValparaiso245886-32023_EPI_ISL_19410285,regional_context,2023-03-30
ATurkeyChile245562-12023_EPI_ISL_20444529__regional_context/Chile/2023-03-29,ATurkeyChile245562-12023_EPI_ISL_20444529,regional_context,2023-03-29
AturkeyValparaiso245562-12023_EPI_ISL_18760063__regional_context/Valparaiso/2023-03-29,AturkeyValparaiso245562-12023_EPI_ISL_18760063,regional_context,2023-03-29
AturkeyValparaiso245886-52023_EPI_ISL_19410286__regional_context/Valparaiso/2023-03-30,AturkeyValparaiso245886-52023_EPI_ISL_19410286,regional_context,2023-03-30
ATurkeyChile255558-42023_EPI_ISL_20444521__regional_context/Chile/2023-03-29,ATurkeyChile255558-42023_EPI_ISL_20444521,regional_context,2023-03-29
AturkeyValparaiso245886-12023_EPI_ISL_19410284__regional_context/Valparaiso/2023-03-30,AturkeyValparaiso245886-12023_EPI_ISL_19410284,regional_context,2023-03-30
AchickenMetropolitana243148-12023_EPI_ISL_18760060__regional_context/Metropolitana/2023-03-20,AchickenMetropolitana243148-12023_EPI_ISL_18760060,regional_context,2023-03-20
AchickenChile2415172023_EPI_ISL_20444499__regional_context/Chile/2023-03-13,AchickenChile2415172023_EPI_ISL_20444499,regional_context,2023-03-13
ANasua_nasuaUruguay145M22023_EPI_ISL_19765475__regional_context/Uruguay/2023-05-04,ANasua_nasuaUruguay145M22023_EPI_ISL_19765475,regional_context,2023-05-04
ANasua_nasuaUruguay145M12023_EPI_ISL_19765465__regional_context/Uruguay/2023-05-04,ANasua_nasuaUruguay145M12023_EPI_ISL_19765465,regional_context,2023-05-04
ANasua_nasuaUruguay146M12023_EPI_ISL_19765485__regional_context/Uruguay/2023-05-05,ANasua_nasuaUruguay146M12023_EPI_ISL_19765485,regional_context,2023-05-05
Abackyard_chickenUruguayUDELAR-124-M12023_EPI_ISL_18310964__regional_context/Uruguay/2023-04-16,Abackyard_chickenUruguayUDELAR-124-M12023_EPI_ISL_18310964,regional_context,2023-04-16
Abackyard_turkeyUruguayUDELAR-124-M62023_EPI_ISL_18310959__regional_context/Uruguay/2023-04-16,Abackyard_turkeyUruguayUDELAR-124-M62023_EPI_ISL_18310959,regional_context,2023-04-16
Abackyard_duckUruguayUDELAR-124-M32023_EPI_ISL_18310960__regional_context/Uruguay/2023-04-16,Abackyard_duckUruguayUDELAR-124-M32023_EPI_ISL_18310960,regional_context,2023-04-16
ATurkeyArgentina753-12023_EPI_ISL_18698497__regional_context/Argentina/2023-03-04,ATurkeyArgentina753-12023_EPI_ISL_18698497,regional_context,2023-03-04
AchickenChile241252-12023_EPI_ISL_20444502__regional_context/Chile/2023-03-12,AchickenChile241252-12023_EPI_ISL_20444502,regional_context,2023-03-12
AchickenOHiggins241252-12023_EPI_ISL_17885872__regional_context/Ohiggins/2023-03-12,AchickenOHiggins241252-12023_EPI_ISL_17885872,regional_context,2023-03-12
AchickenChile241252-62023_EPI_ISL_20444500__regional_context/Chile/2023-03-12,AchickenChile241252-62023_EPI_ISL_20444500,regional_context,2023-03-12
AchickenOHiggins241252-62023_EPI_ISL_17885870__regional_context/Ohiggins/2023-03-12,AchickenOHiggins241252-62023_EPI_ISL_17885870,regional_context,2023-03-12
AchickenChile241252-32023_EPI_ISL_20444501__regional_context/Chile/2023-03-12,AchickenChile241252-32023_EPI_ISL_20444501,regional_context,2023-03-12
AchickenOHiggins241252-32023_EPI_ISL_17885871__regional_context/Ohiggins/2023-03-12,AchickenOHiggins241252-32023_EPI_ISL_17885871,regional_context,2023-03-12
AChickenArgentina506-22023_EPI_ISL_18698474__regional_context/Argentina/2023-02-20,AChickenArgentina506-22023_EPI_ISL_18698474,regional_context,2023-02-20
AChickenArgentina556-62023_EPI_ISL_18698478__regional_context/Argentina/2023-02-23,AChickenArgentina556-62023_EPI_ISL_18698478,regional_context,2023-02-23
ASouth_polar_skuaAntarcticaINACH-UC-UCHILE-SKU32024_EPI_ISL_19410263__regional_context/Antarctica/2024-03-03,ASouth_polar_skuaAntarcticaINACH-UC-UCHILE-SKU32024_EPI_ISL_19410263,regional_context,2024-03-03
ASouth_polar_skuaAntarcticaINACH-UC-UCHILE-SKU42024_EPI_ISL_19410264__regional_context/Antarctica/2024-03-03,ASouth_polar_skuaAntarcticaINACH-UC-UCHILE-SKU42024_EPI_ISL_19410264,regional_context,2024-03-03
ASouth_polar_skuaAntarcticaINACH-UC-UCHILE-SKU52024_EPI_ISL_19410265__regional_context/Antarctica/2024-03-03,ASouth_polar_skuaAntarcticaINACH-UC-UCHILE-SKU52024_EPI_ISL_19410265,regional_context,2024-03-03
AChickenArgentina3346-12023_EPI_ISL_18698528__regional_context/Argentina/2023-07-06,AChickenArgentina3346-12023_EPI_ISL_18698528,regional_context,2023-07-06
AChickenArgentina606-12023_EPI_ISL_18698492__regional_context/Argentina/2023-02-27,AChickenArgentina606-12023_EPI_ISL_18698492,regional_context,2023-02-27
AChickenArgentina736-12023_EPI_ISL_18698494__regional_context/Argentina/2023-03-03,AChickenArgentina736-12023_EPI_ISL_18698494,regional_context,2023-03-03
AChickenArgentina747-12023_EPI_ISL_18698730__regional_context/Argentina/2023-03-04,AChickenArgentina747-12023_EPI_ISL_18698730,regional_context,2023-03-04
ASterna_hirundoEspirito_Santo0155-N2024_EPI_ISL_19215192__regional_context/EspiritoSanto/2024-02-02,ASterna_hirundoEspirito_Santo0155-N2024_EPI_ISL_19215192,regional_context,2024-02-02
ASterna_hirundoSaoFranciscoItabapoanaBR1060-N-20242024_EPI_ISL_20299633__regional_context/Saofranciscoitabapoanabr/2024-04-05,ASterna_hirundoSaoFranciscoItabapoanaBR1060-N-20242024_EPI_ISL_20299633,regional_context,2024-04-05
AThalasseus_maximusSao_Paulo2339-N2023_EPI_ISL_19215200__regional_context/SaoPaulo/2023-12-13,AThalasseus_maximusSao_Paulo2339-N2023_EPI_ISL_19215200,regional_context,2023-12-13
AThalasseus_acuflavidusSao_Paulo0291-N2024_EPI_ISL_19215197__regional_context/SaoPaulo/2024-02-22,AThalasseus_acuflavidusSao_Paulo0291-N2024_EPI_ISL_19215197,regional_context,2024-02-22
AThalasseus_acuflavidusParana2277-N2023_EPI_ISL_19215199__regional_context/Parana/2023-11-14,AThalasseus_acuflavidusParana2277-N2023_EPI_ISL_19215199,regional_context,2023-11-14
ASula_leucogasterBrazil-PRA0001-IBTEC2023_EPI_ISL_18975372__regional_context/BrazilPr/2023-07-25,ASula_leucogasterBrazil-PRA0001-IBTEC2023_EPI_ISL_18975372,regional_context,2023-07-25
AThalasseus_maximusSanta_Catarina1941-N2023_EPI_ISL_19215187__regional_context/SantaCatarina/2023-09-25,AThalasseus_maximusSanta_Catarina1941-N2023_EPI_ISL_19215187,regional_context,2023-09-25
AfrigatebirdRio_de_JaneiroMAPA-1532N2023_EPI_ISL_18755251__regional_context/RioDeJaneiro/2023-06-03,AfrigatebirdRio_de_JaneiroMAPA-1532N2023_EPI_ISL_18755251,regional_context,2023-06-03
Abackyard_chickenUruguayUDELAR-127-M42023_EPI_ISL_18310962__regional_context/Uruguay/2023-04-17,Abackyard_chickenUruguayUDELAR-127-M42023_EPI_ISL_18310962,regional_context,2023-04-17
AGreat_egretAraucania2405182023_EPI_ISL_17885950__regional_context/Araucania/2023-03-07,AGreat_egretAraucania2405182023_EPI_ISL_17885950,regional_context,2023-03-07
