Building DAG of jobs...
output_file	date	rule	log-file(s)	input-file(s)	shellcmd	status	plan
data/processed_alignments/codon_aware/H5N1_PA.mafft	Tue May 26 04:50:22 2026	run_nextclade_alignment_per_segment		data/phylogeny/by_segment/H5N1_PA.fasta,data/phylogeny/by_segment/H5N1_PA_ref.fasta,resources/nextclade_h5n1_ha	if [ "PA" = "HA" ]; then;             nextclade run \;                 --input-dataset resources/nextclade_h5n1_ha \;                 --output-fasta data/processed_alignments/codon_aware/H5N1_PA.mafft \;                 --output-tsv results/qc_metrics/alignments/nextclade_PA_report.tsv \;                 --jobs 16 \;                 data/phylogeny/by_segment/H5N1_PA.fasta;         else;             nextclade run \;                 --input-ref data/phylogeny/by_segment/H5N1_PA_ref.fasta \;                 --output-fasta data/processed_alignments/codon_aware/H5N1_PA.mafft \;                 --output-tsv results/qc_metrics/alignments/nextclade_PA_report.tsv \;                 --jobs 16 \;                 data/phylogeny/by_segment/H5N1_PA.fasta;         fi	ok	update pending
results/qc_metrics/alignments/nextclade_PA_report.tsv	Tue May 26 04:50:22 2026	run_nextclade_alignment_per_segment		data/phylogeny/by_segment/H5N1_PA.fasta,data/phylogeny/by_segment/H5N1_PA_ref.fasta,resources/nextclade_h5n1_ha	if [ "PA" = "HA" ]; then;             nextclade run \;                 --input-dataset resources/nextclade_h5n1_ha \;                 --output-fasta data/processed_alignments/codon_aware/H5N1_PA.mafft \;                 --output-tsv results/qc_metrics/alignments/nextclade_PA_report.tsv \;                 --jobs 16 \;                 data/phylogeny/by_segment/H5N1_PA.fasta;         else;             nextclade run \;                 --input-ref data/phylogeny/by_segment/H5N1_PA_ref.fasta \;                 --output-fasta data/processed_alignments/codon_aware/H5N1_PA.mafft \;                 --output-tsv results/qc_metrics/alignments/nextclade_PA_report.tsv \;                 --jobs 16 \;                 data/phylogeny/by_segment/H5N1_PA.fasta;         fi	ok	update pending
data/phylogeny/by_segment/H5N1_PA_ref.fasta	-	extract_segment_reference		data/phylogeny/by_segment/H5N1_PA.fasta	python code/build_inputs/extract_reference.py \;             --input-fasta data/phylogeny/by_segment/H5N1_PA.fasta \;             --reference-id Flu-0316 \;             --output-fasta data/phylogeny/by_segment/H5N1_PA_ref.fasta	removed temp file	update pending
data/processed_alignments/codon_aware/H5N1_HA.mafft	Tue May 26 04:50:24 2026	run_nextclade_alignment_per_segment		data/phylogeny/by_segment/H5N1_HA.fasta,data/phylogeny/by_segment/H5N1_HA_ref.fasta,resources/nextclade_h5n1_ha	if [ "HA" = "HA" ]; then;             nextclade run \;                 --input-dataset resources/nextclade_h5n1_ha \;                 --output-fasta data/processed_alignments/codon_aware/H5N1_HA.mafft \;                 --output-tsv results/qc_metrics/alignments/nextclade_HA_report.tsv \;                 --jobs 16 \;                 data/phylogeny/by_segment/H5N1_HA.fasta;         else;             nextclade run \;                 --input-ref data/phylogeny/by_segment/H5N1_HA_ref.fasta \;                 --output-fasta data/processed_alignments/codon_aware/H5N1_HA.mafft \;                 --output-tsv results/qc_metrics/alignments/nextclade_HA_report.tsv \;                 --jobs 16 \;                 data/phylogeny/by_segment/H5N1_HA.fasta;         fi	ok	update pending
results/qc_metrics/alignments/nextclade_HA_report.tsv	Tue May 26 04:50:24 2026	run_nextclade_alignment_per_segment		data/phylogeny/by_segment/H5N1_HA.fasta,data/phylogeny/by_segment/H5N1_HA_ref.fasta,resources/nextclade_h5n1_ha	if [ "HA" = "HA" ]; then;             nextclade run \;                 --input-dataset resources/nextclade_h5n1_ha \;                 --output-fasta data/processed_alignments/codon_aware/H5N1_HA.mafft \;                 --output-tsv results/qc_metrics/alignments/nextclade_HA_report.tsv \;                 --jobs 16 \;                 data/phylogeny/by_segment/H5N1_HA.fasta;         else;             nextclade run \;                 --input-ref data/phylogeny/by_segment/H5N1_HA_ref.fasta \;                 --output-fasta data/processed_alignments/codon_aware/H5N1_HA.mafft \;                 --output-tsv results/qc_metrics/alignments/nextclade_HA_report.tsv \;                 --jobs 16 \;                 data/phylogeny/by_segment/H5N1_HA.fasta;         fi	ok	update pending
data/phylogeny/by_segment/H5N1_HA_ref.fasta	-	extract_segment_reference		data/phylogeny/by_segment/H5N1_HA.fasta	python code/build_inputs/extract_reference.py \;             --input-fasta data/phylogeny/by_segment/H5N1_HA.fasta \;             --reference-id Flu-0316 \;             --output-fasta data/phylogeny/by_segment/H5N1_HA_ref.fasta	removed temp file	update pending
data/processed_alignments/codon_aware/H5N1_NP.mafft	Tue May 26 04:50:22 2026	run_nextclade_alignment_per_segment		data/phylogeny/by_segment/H5N1_NP.fasta,data/phylogeny/by_segment/H5N1_NP_ref.fasta,resources/nextclade_h5n1_ha	if [ "NP" = "HA" ]; then;             nextclade run \;                 --input-dataset resources/nextclade_h5n1_ha \;                 --output-fasta data/processed_alignments/codon_aware/H5N1_NP.mafft \;                 --output-tsv results/qc_metrics/alignments/nextclade_NP_report.tsv \;                 --jobs 16 \;                 data/phylogeny/by_segment/H5N1_NP.fasta;         else;             nextclade run \;                 --input-ref data/phylogeny/by_segment/H5N1_NP_ref.fasta \;                 --output-fasta data/processed_alignments/codon_aware/H5N1_NP.mafft \;                 --output-tsv results/qc_metrics/alignments/nextclade_NP_report.tsv \;                 --jobs 16 \;                 data/phylogeny/by_segment/H5N1_NP.fasta;         fi	ok	update pending
results/qc_metrics/alignments/nextclade_NP_report.tsv	Tue May 26 04:50:22 2026	run_nextclade_alignment_per_segment		data/phylogeny/by_segment/H5N1_NP.fasta,data/phylogeny/by_segment/H5N1_NP_ref.fasta,resources/nextclade_h5n1_ha	if [ "NP" = "HA" ]; then;             nextclade run \;                 --input-dataset resources/nextclade_h5n1_ha \;                 --output-fasta data/processed_alignments/codon_aware/H5N1_NP.mafft \;                 --output-tsv results/qc_metrics/alignments/nextclade_NP_report.tsv \;                 --jobs 16 \;                 data/phylogeny/by_segment/H5N1_NP.fasta;         else;             nextclade run \;                 --input-ref data/phylogeny/by_segment/H5N1_NP_ref.fasta \;                 --output-fasta data/processed_alignments/codon_aware/H5N1_NP.mafft \;                 --output-tsv results/qc_metrics/alignments/nextclade_NP_report.tsv \;                 --jobs 16 \;                 data/phylogeny/by_segment/H5N1_NP.fasta;         fi	ok	update pending
data/phylogeny/by_segment/H5N1_NP_ref.fasta	-	extract_segment_reference		data/phylogeny/by_segment/H5N1_NP.fasta	python code/build_inputs/extract_reference.py \;             --input-fasta data/phylogeny/by_segment/H5N1_NP.fasta \;             --reference-id Flu-0316 \;             --output-fasta data/phylogeny/by_segment/H5N1_NP_ref.fasta	removed temp file	update pending
data/processed_alignments/codon_aware/H5N1_NA.mafft	Tue May 26 04:50:23 2026	run_nextclade_alignment_per_segment		data/phylogeny/by_segment/H5N1_NA.fasta,data/phylogeny/by_segment/H5N1_NA_ref.fasta,resources/nextclade_h5n1_ha	if [ "NA" = "HA" ]; then;             nextclade run \;                 --input-dataset resources/nextclade_h5n1_ha \;                 --output-fasta data/processed_alignments/codon_aware/H5N1_NA.mafft \;                 --output-tsv results/qc_metrics/alignments/nextclade_NA_report.tsv \;                 --jobs 16 \;                 data/phylogeny/by_segment/H5N1_NA.fasta;         else;             nextclade run \;                 --input-ref data/phylogeny/by_segment/H5N1_NA_ref.fasta \;                 --output-fasta data/processed_alignments/codon_aware/H5N1_NA.mafft \;                 --output-tsv results/qc_metrics/alignments/nextclade_NA_report.tsv \;                 --jobs 16 \;                 data/phylogeny/by_segment/H5N1_NA.fasta;         fi	ok	update pending
